Time_s,X,Y,Z
12.078,0.387,-0.07,-0.922
12.111,0.375,-0.063,-0.926
12.144,0.391,-0.059,-0.926
12.177,0.398,-0.074,-0.918
12.21,0.398,-0.07,-0.922
12.243,0.387,-0.063,-0.926
12.276,0.391,-0.059,-0.922
12.309,0.387,-0.059,-0.922
12.342,0.383,-0.063,-0.926
12.375,0.387,-0.066,-0.926
12.408,0.395,-0.059,-0.926
12.441,0.391,-0.059,-0.93
12.474,0.387,-0.063,-0.926
12.507,0.391,-0.07,-0.926
12.54,0.379,-0.055,-0.926
12.573,0.379,-0.063,-0.922
12.606,0.391,-0.063,-0.918
12.639,0.387,-0.066,-0.922
12.672,0.375,-0.063,-0.938
12.705,0.367,-0.059,-0.926
12.738,0.387,-0.063,-0.918
12.771,0.391,-0.07,-0.922
12.804,0.379,-0.066,-0.922
12.837,0.379,-0.063,-0.922
12.87,0.383,-0.063,-0.918
12.903,0.387,-0.047,-0.93
12.936,0.383,-0.063,-0.926
12.969,0.379,-0.063,-0.93
13.002,0.383,-0.066,-0.922
13.035,0.387,-0.066,-0.926
13.068,0.387,-0.059,-0.922
13.101,0.379,-0.063,-0.926
13.134,0.367,-0.059,-0.926
13.167,0.387,-0.063,-0.93
13.2,0.387,-0.066,-0.93
13.233,0.379,-0.063,-0.93
13.266,0.375,-0.066,-0.93
13.299,0.383,-0.066,-0.93
13.332,0.379,-0.066,-0.922
13.365,0.375,-0.063,-0.93
13.398,0.383,-0.051,-0.926
13.431,0.379,-0.063,-0.926
13.464,0.379,-0.063,-0.926
13.497,0.383,-0.07,-0.926
13.53,0.383,-0.063,-0.926
13.563,0.379,-0.059,-0.926
13.596,0.375,-0.055,-0.93
13.629,0.375,-0.059,-0.93
13.662,0.391,-0.066,-0.926
13.695,0.391,-0.078,-0.926
13.728,0.375,-0.066,-0.922
13.761,0.375,-0.059,-0.926
13.794,0.387,-0.066,-0.93
13.827,0.383,-0.063,-0.922
13.86,0.367,-0.063,-0.926
13.893,0.395,-0.055,-0.93
13.926,0.391,-0.066,-0.934
13.959,0.379,-0.059,-0.926
13.992,0.379,-0.063,-0.93
14.025,0.383,-0.07,-0.93
14.058,0.391,-0.063,-0.926
14.091,0.391,-0.063,-0.926
14.124,0.383,-0.063,-0.926
14.157,0.375,-0.063,-0.934
14.19,0.379,-0.063,-0.926
14.223,0.391,-0.07,-0.922
14.256,0.387,-0.059,-0.93
14.289,0.379,-0.059,-0.926
14.322,0.375,-0.066,-0.93
14.355,0.383,-0.066,-0.922
14.388,0.391,-0.059,-0.922
14.421,0.383,-0.066,-0.93
14.454,0.379,-0.066,-0.922
14.487,0.375,-0.059,-0.93
14.52,0.371,-0.066,-0.93
14.553,0.387,-0.066,-0.922
14.586,0.387,-0.066,-0.926
14.619,0.375,-0.066,-0.93
14.652,0.371,-0.059,-0.926
14.685,0.375,-0.059,-0.926
14.718,0.379,-0.063,-0.93
14.751,0.379,-0.066,-0.926
14.784,0.379,-0.066,-0.934
14.817,0.367,-0.066,-0.926
14.85,0.383,-0.063,-0.926
14.883,0.391,-0.051,-0.926
14.916,0.379,-0.059,-0.934
14.949,0.375,-0.066,-0.926
14.982,0.387,-0.063,-0.922
15.015,0.387,-0.059,-0.926
15.048,0.371,-0.07,-0.926
15.081,0.371,-0.059,-0.93
15.114,0.383,-0.059,-0.93
15.147,0.383,-0.063,-0.926
15.18,0.379,-0.063,-0.93
15.213,0.371,-0.063,-0.93
15.246,0.379,-0.066,-0.922
15.279,0.387,-0.063,-0.918
15.312,0.387,-0.063,-0.926
15.345,0.375,-0.059,-0.93
15.378,0.375,-0.055,-0.934
15.411,0.383,-0.066,-0.93
15.444,0.391,-0.07,-0.922
