Accelerometer X,Accelerometer Y,Accelerometer Z,Time(s)
-0.145,0.441,-0.902,2.849
-0.141,0.441,-0.906,2.86
-0.137,0.438,-0.914,2.871
-0.133,0.43,-0.91,2.882
-0.133,0.434,-0.91,2.893
-0.137,0.438,-0.91,2.904
-0.141,0.438,-0.906,2.915
-0.152,0.438,-0.906,2.926
-0.156,0.441,-0.902,2.937
-0.16,0.441,-0.902,2.948
-0.164,0.441,-0.902,2.959
-0.164,0.441,-0.902,2.97
-0.156,0.453,-0.902,2.981
-0.16,0.438,-0.902,2.992
-0.156,0.438,-0.906,3.003
-0.152,0.434,-0.906,3.014
-0.156,0.434,-0.91,3.025
-0.16,0.441,-0.906,3.036
-0.152,0.441,-0.902,3.047
-0.141,0.441,-0.91,3.058
-0.141,0.441,-0.91,3.069
-0.145,0.438,-0.906,3.08
-0.152,0.438,-0.91,3.091
-0.156,0.438,-0.91,3.102
-0.16,0.441,-0.906,3.113
-0.152,0.441,-0.902,3.124
-0.152,0.438,-0.902,3.135
-0.148,0.438,-0.902,3.146
-0.148,0.438,-0.906,3.157
-0.152,0.438,-0.906,3.168
-0.152,0.438,-0.906,3.179
-0.156,0.43,-0.906,3.19
-0.16,0.438,-0.906,3.201
-0.16,0.438,-0.906,3.212
-0.168,0.438,-0.906,3.223
-0.164,0.438,-0.906,3.234
-0.168,0.438,-0.906,3.245
-0.164,0.43,-0.902,3.256
-0.16,0.426,-0.906,3.267
-0.156,0.43,-0.91,3.278
-0.152,0.434,-0.906,3.289
-0.145,0.434,-0.902,3.3
-0.148,0.438,-0.902,3.311
-0.145,0.434,-0.902,3.322
-0.148,0.438,-0.906,3.333
-0.148,0.434,-0.906,3.344
-0.152,0.434,-0.906,3.355
-0.156,0.438,-0.91,3.366
-0.156,0.438,-0.906,3.377
-0.16,0.434,-0.91,3.388
-0.16,0.434,-0.906,3.399
-0.16,0.438,-0.902,3.41
-0.16,0.438,-0.902,3.421
-0.156,0.438,-0.902,3.432
-0.156,0.438,-0.902,3.443
-0.156,0.43,-0.902,3.454
-0.164,0.43,-0.902,3.465
-0.156,0.43,-0.91,3.476
-0.164,0.426,-0.902,3.487
-0.168,0.43,-0.902,3.498
-0.168,0.43,-0.906,3.509
-0.168,0.438,-0.906,3.52
-0.168,0.438,-0.902,3.531
-0.164,0.438,-0.902,3.542
-0.164,0.438,-0.898,3.553
-0.168,0.438,-0.902,3.564
-0.164,0.434,-0.906,3.575
-0.16,0.426,-0.906,3.586
-0.148,0.426,-0.91,3.597
-0.141,0.426,-0.91,3.608
-0.137,0.426,-0.906,3.619
-0.145,0.43,-0.902,3.63
-0.148,0.434,-0.902,3.641
-0.145,0.438,-0.902,3.652
-0.145,0.438,-0.902,3.663
-0.145,0.441,-0.906,3.674
-0.141,0.438,-0.914,3.685
-0.141,0.441,-0.91,3.696
-0.145,0.441,-0.91,3.707
-0.148,0.441,-0.914,3.718
-0.145,0.438,-0.914,3.729
-0.152,0.438,-0.91,3.74
-0.16,0.434,-0.91,3.751
-0.168,0.434,-0.906,3.762
-0.164,0.43,-0.914,3.773
-0.164,0.422,-0.91,3.784
-0.164,0.43,-0.906,3.795
-0.152,0.438,-0.902,3.806
-0.152,0.441,-0.906,3.817
-0.152,0.441,-0.906,3.828
-0.145,0.438,-0.902,3.839
-0.133,0.438,-0.906,3.85
-0.133,0.434,-0.902,3.861
-0.133,0.43,-0.898,3.872
-0.133,0.426,-0.895,3.883
-0.133,0.426,-0.891,3.894
-0.141,0.434,-0.895,3.905
-0.148,0.43,-0.891,3.916
-0.156,0.43,-0.895,3.927
-0.164,0.438,-0.902,3.938
-0.164,0.438,-0.906,3.949
-0.168,0.441,-0.91,3.96
-0.164,0.449,-0.91,3.971
-0.164,0.449,-0.906,3.982
-0.16,0.449,-0.91,3.993
-0.164,0.449,-0.914,4.004
-0.152,0.445,-0.914,4.015
-0.148,0.441,-0.914,4.026
-0.141,0.441,-0.918,4.037
-0.148,0.441,-0.918,4.048
-0.152,0.438,-0.918,4.059
-0.148,0.434,-0.91,4.07
-0.145,0.43,-0.918,4.081
-0.141,0.426,-0.914,4.092
-0.137,0.422,-0.91,4.103
-0.137,0.422,-0.906,4.114
-0.137,0.418,-0.906,4.125
-0.141,0.422,-0.91,4.136
-0.145,0.414,-0.906,4.147
-0.145,0.41,-0.902,4.158
-0.141,0.418,-0.902,4.169
-0.145,0.426,-0.902,4.18
-0.148,0.43,-0.902,4.191
-0.148,0.438,-0.906,4.202
-0.152,0.434,-0.906,4.213
-0.152,0.438,-0.906,4.224
-0.152,0.438,-0.91,4.235
-0.148,0.438,-0.906,4.246
-0.148,0.441,-0.91,4.257
-0.152,0.438,-0.91,4.268
-0.148,0.438,-0.902,4.279
-0.141,0.438,-0.902,4.29
-0.137,0.438,-0.902,4.301
-0.141,0.438,-0.902,4.312
-0.145,0.441,-0.902,4.323
-0.141,0.438,-0.914,4.334
-0.141,0.434,-0.918,4.345
-0.137,0.438,-0.918,4.356
-0.133,0.438,-0.922,4.367
-0.133,0.434,-0.922,4.378
-0.133,0.438,-0.918,4.389
-0.137,0.434,-0.91,4.4
-0.133,0.438,-0.906,4.411
-0.141,0.438,-0.906,4.422
-0.145,0.441,-0.902,4.433
-0.145,0.438,-0.902,4.444
-0.156,0.441,-0.902,4.455
-0.148,0.449,-0.898,4.466
-0.148,0.438,-0.902,4.477
-0.145,0.434,-0.902,4.488
-0.141,0.434,-0.898,4.499
-0.141,0.434,-0.898,4.51
-0.141,0.434,-0.906,4.521
-0.133,0.43,-0.906,4.532
-0.133,0.438,-0.902,4.543
-0.129,0.438,-0.906,4.554
-0.133,0.438,-0.906,4.565
-0.137,0.434,-0.906,4.576
-0.137,0.438,-0.902,4.587
-0.137,0.434,-0.902,4.598
-0.137,0.434,-0.906,4.609
-0.141,0.438,-0.902,4.62
-0.137,0.438,-0.906,4.631
-0.141,0.441,-0.906,4.642
-0.141,0.441,-0.906,4.653
-0.137,0.441,-0.91,4.664
-0.137,0.441,-0.906,4.675
-0.133,0.441,-0.902,4.686
-0.133,0.441,-0.906,4.697
-0.137,0.438,-0.906,4.708
-0.137,0.438,-0.902,4.719
-0.141,0.438,-0.902,4.73
-0.137,0.441,-0.902,4.741
-0.133,0.441,-0.902,4.752
-0.137,0.445,-0.898,4.763
-0.137,0.441,-0.902,4.774
-0.137,0.438,-0.902,4.785
-0.133,0.438,-0.902,4.796
-0.133,0.438,-0.902,4.807
-0.133,0.438,-0.902,4.818
-0.133,0.441,-0.906,4.829
-0.133,0.441,-0.906,4.84
-0.133,0.441,-0.91,4.851
-0.133,0.434,-0.906,4.862
-0.133,0.438,-0.906,4.873
-0.137,0.441,-0.91,4.884
-0.141,0.441,-0.906,4.895
-0.141,0.438,-0.906,4.906
-0.145,0.438,-0.906,4.917
-0.141,0.441,-0.906,4.928
-0.141,0.445,-0.902,4.939
-0.137,0.441,-0.902,4.95
-0.133,0.449,-0.902,4.961
-0.133,0.441,-0.902,4.972
-0.125,0.441,-0.906,4.983
-0.129,0.441,-0.91,4.994
-0.133,0.441,-0.914,5.005
-0.137,0.441,-0.906,5.016
-0.137,0.441,-0.906,5.027
-0.137,0.449,-0.902,5.038
-0.137,0.445,-0.898,5.049
-0.137,0.445,-0.895,5.06
-0.145,0.441,-0.898,5.071
-0.152,0.441,-0.902,5.082
-0.148,0.441,-0.906,5.093
-0.148,0.441,-0.91,5.104
-0.141,0.441,-0.902,5.115
-0.133,0.441,-0.91,5.126
-0.125,0.445,-0.906,5.137
-0.117,0.441,-0.914,5.148
-0.113,0.445,-0.91,5.159
-0.105,0.445,-0.91,5.17
-0.105,0.445,-0.906,5.181
-0.109,0.441,-0.91,5.192
-0.113,0.438,-0.906,5.203
-0.121,0.438,-0.902,5.214
-0.133,0.434,-0.902,5.225
-0.141,0.434,-0.898,5.236
-0.148,0.438,-0.898,5.247
-0.152,0.438,-0.898,5.258
-0.145,0.438,-0.902,5.269
-0.148,0.441,-0.902,5.28
-0.145,0.441,-0.902,5.291
-0.137,0.445,-0.902,5.302
-0.137,0.445,-0.906,5.313
-0.133,0.441,-0.91,5.324
-0.133,0.445,-0.91,5.335
-0.133,0.441,-0.918,5.346
-0.133,0.441,-0.914,5.357
-0.129,0.441,-0.914,5.368
-0.133,0.441,-0.906,5.379
-0.133,0.441,-0.906,5.39
-0.137,0.434,-0.902,5.401
-0.141,0.434,-0.91,5.412
-0.137,0.438,-0.91,5.423
-0.137,0.434,-0.906,5.434
-0.145,0.438,-0.91,5.445
-0.148,0.449,-0.906,5.456
-0.152,0.441,-0.902,5.467
-0.152,0.441,-0.906,5.478
-0.148,0.438,-0.91,5.489
-0.148,0.438,-0.91,5.5
-0.148,0.438,-0.906,5.511
-0.152,0.438,-0.906,5.522
-0.145,0.438,-0.906,5.533
-0.145,0.438,-0.906,5.544
-0.141,0.438,-0.902,5.555
-0.137,0.438,-0.906,5.566
-0.141,0.438,-0.906,5.577
-0.145,0.438,-0.906,5.588
-0.141,0.438,-0.906,5.599
-0.141,0.438,-0.906,5.61
-0.145,0.438,-0.902,5.621
-0.141,0.434,-0.906,5.632
-0.148,0.438,-0.906,5.643
-0.148,0.438,-0.906,5.654
-0.152,0.43,-0.906,5.665
-0.152,0.434,-0.906,5.676
-0.145,0.43,-0.906,5.687
-0.148,0.434,-0.902,5.698
-0.141,0.438,-0.902,5.709
-0.145,0.438,-0.906,5.72
-0.145,0.441,-0.91,5.731
-0.145,0.441,-0.91,5.742
-0.145,0.438,-0.906,5.753
-0.148,0.438,-0.906,5.764
-0.148,0.438,-0.906,5.775
-0.152,0.434,-0.906,5.786
-0.152,0.434,-0.906,5.797
-0.156,0.438,-0.91,5.808
-0.156,0.434,-0.906,5.819
-0.156,0.434,-0.902,5.83
-0.164,0.434,-0.902,5.841
-0.16,0.434,-0.906,5.852
-0.16,0.434,-0.906,5.863
-0.156,0.438,-0.91,5.874
-0.145,0.434,-0.914,5.885
-0.137,0.43,-0.914,5.896
-0.141,0.43,-0.914,5.907
-0.141,0.43,-0.91,5.918
-0.145,0.434,-0.906,5.929
-0.148,0.434,-0.898,5.94
-0.148,0.449,-0.902,5.951
-0.152,0.434,-0.902,5.962
-0.16,0.438,-0.902,5.973
-0.168,0.43,-0.902,5.984
-0.168,0.43,-0.902,5.995
-0.168,0.43,-0.906,6.006
-0.168,0.434,-0.902,6.017
-0.168,0.43,-0.906,6.028
-0.168,0.434,-0.906,6.039
-0.16,0.441,-0.902,6.05
-0.156,0.441,-0.91,6.061
-0.152,0.438,-0.906,6.072
-0.145,0.434,-0.906,6.083
-0.148,0.438,-0.906,6.094
-0.156,0.438,-0.91,6.105
-0.164,0.438,-0.906,6.116
-0.16,0.438,-0.906,6.127
-0.156,0.434,-0.91,6.138
